"Sample","Transect.ID","Individual.ID","Year","Site","Visit","SiteVisit","Lat","Long","Collected","Transect","NetorPan","Date.Collected","Type","Species.Code","Genus.Code","Sex","RNA.conc.","DWV","SBV","BQCV","Richness","EstRich_338","Abundance","Diversity","APME_ABUND","BOIM_ABUND","LASI_ABUND","PEPR_ABUND","Nat.1000","Land_Richness_1000","floralrichness","totaldensity","Richness_visit","Abundance_visit","Diversity_visit","invsimpson_visit","shannon_visit","APME_ABUND_visit","BOIM_ABUND_visit","LASI_ABUND_visit","PEPR_ABUND_visit","floralrichness_visit","floralsimpson_visit","floralshannon_visit","squashdensity_visit","forbdensity_visit","totaldensity_visit","squashfloralcover_visit","total_Fcover_visit","BGcover_visit","Squashcover_visit","Grasscover_visit","Forbscover_visit"
254,"BB15B2N","BB15B2N-22",2015,"BB",2,"BB2",42.18209,-83.41592,"squash","B","Net","7/18/2015","APIS","APME","APIS","F","too high",0,1,1,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,10,198,0.472400775,1.89537807,0.902575716,3,3,52,134,0,1,0,1.22222222222222,0,1.22222222222222,2.66666666666667,0,69.4444444444444,63.3611111111111,2.11111111111111,1.30555555555556
603,"BC15B2N","BC15B2N-14",2015,"BC",2,"BC2",42.35073,-83.8556,"squash","B","Net","7/24/2015","APIS","APME","APIS","F","too high",1,0,1,8,7.988,340,0.518217993,57,13,227,24,0.36821267,18,5,11.85416667,6,180,0.328148148,1.488423374,0.702770022,19,0,146,8,3,0.390486588079214,0.596675918557329,0.875,11.2083333333333,12.0833333333333,4.375,0.895833333333333,51,48.1875,16,7.58333333333333
1156,"BJ15A3N","BJ15A3N-9",2015,"BJ",3,"BJ3",41.79369,-83.63598,"squash","A","Net","7/31/2015","APIS","APME","APIS","F","19.8",0,0,1,25,28.247,183,0.814834722,16,42,61,16,0.637672974,19,8,7.583333333,19,107,0.832911171,5.984840565,2.171968557,13,21,32,14,3,0.53185595567867,0.909707710327499,1.5,0.791666666666667,2.29166666666667,2.89583333333333,0.229166666666667,38.3541666666667,39.5208333333333,32.0416666666667,17.8333333333333
2342,"BP16B1N","BP16B1N-27",2016,"BP",1,"BP1",42.5732,-84.38707,"squash","B","Net","8/10/2016","APIS","APME","APIS","F","87.2",1,1,1,43,42.533,346,0.80363527,55,126,64,7,0.660719343,24,11,18.47916667,27,159,0.838574423,6.194805195,2.344772517,22,37,45,6,2,0.486111111111111,0.679193265991526,1.83333333333333,1,2.83333333333333,4.04166666666667,0.770833333333333,57.6875,20.4791666666667,16.1041666666667,11.6875
2240,"E16D1N","E16D1N-141",2016,"E",1,"E1",42.50159,-83.66593,"flowers","D","Net","7/27/2016","APIS","APME","APIS","F","307",0,1,1,27,26.448,350,0.747902041,40,76,41,147,0.426470588,23,9,76.5,19,215,0.541092482,2.179088295,1.307584137,8,4,38,140,4,0.661360685009334,1.13480007153256,2.33333333333333,18.5,20.8333333333333,4.58333333333333,1.14583333333333,50.4375,28.1458333333333,9.5625,18.1041666666667
772,"G15B2N","G15B2N-3",2015,"G",2,"G2",41.74274,-83.79059,"squash","B","Net","7/26/2015","APIS","APME","APIS","F","17.2",0,0,1,7,7.978,46,0.524574669,31,3,3,3,0.05648122,19,2,4.166666667,3,6,0.5,2,0.867563228,4,0,1,0,2,0.0867768595041321,0.184907399167776,0.583333333333333,0.916666666666667,1.5,1.625,0.125,54.2916666666667,27.7083333333333,22.25,2.125
2956,"GT16C1N","GT16C1N-63",2016,"GT",1,"GT1",42.32644,-83.70953,"squash","C","Net","8/17/2016","APIS","APME","APIS","F","83.8",1,0,1,49,43.277,423,0.842870636,41,105,116,32,0.588235294,23,16,29.20833333,25,207,0.797124787,4.929138387,2.064573885,20,39,76,28,10,0.698134726655375,1.44447581964954,0.916666666666667,25.7916666666667,26.7083333333333,2.25,3.58333333333333,32.6875,16.4583333333333,9.3125,55.3333333333333
3295,"K16C1N","K16C1N-46",2016,"K",1,"K1",41.95222,-83.92257,"squash","C","Net","8/21/2016","APIS","APME","APIS","F","346",1,0,1,41,44.026,291,0.847486449,9,89,34,0,0.582768362,19,10,29.10416667,11,110,0.691239669,3.23875803,1.508913351,3,53,22,0,5,0.671953664513255,1.2630572776546,1.41666666666667,13.9583333333333,15.375,3.375,0.875,23.6041666666667,47.75,24.9166666666667,22.8958333333333
2475,"PL16A1N","PL16A1N-1",2016,"PL",1,"PL1",42.33729,-83.55478,"squash","A","Net","8/11/2016","APIS","APME","APIS","F","248",0,0,1,31,27.842,446,0.802449275,64,105,147,44,0.58908371,26,16,63.35416667,18,178,0.761078147,4.185468956,1.862449063,16,18,71,43,10,0.713288115205988,1.58233828655693,0.208333333333333,14.4166666666667,14.625,0.5,0.770833333333333,37.3125,11.1666666666667,43.7083333333333,12.6458333333333
3677,"PR16D2N","PR16D2N-183",2016,"PR",2,"PR2",42.84507,-84.37847,"flowers","D","Net","8/23/2016","APIS","APME","APIS","F","105",0,1,0,41,27.33,756,0.742441421,71,167,331,53,0.881802721,18,7,38.83333333,32,403,0.748517631,3.976421908,1.875731397,71,164,92,0,6,0.649308779090117,1.25633114595709,1.83333333333333,69.0416666666667,70.875,4.125,4.8125,44.3333333333333,36.6875,15.5833333333333,16.6458333333333
